findDealer,bpFinish,vehQuote,bpStart,tradeIn,incView,quickQuote,searchInv,testDrive,paymentEst,clickCall,avgPageVis,avgSiteTime,naturalSearchVis,bookmarkedVis,paidSearchVis,bannerVis,vehHomeVis,galleryVis
1175,23298,134,23210,19,4067,48,4826,14,11411,5,3.994155654,450.3173671,18848,16675,7436,39733,12861,1606
1382,21796,109,22210,8,3731,45,4611,9,10230,18,3.765560959,439.5452093,18246,15737,7407,43098,12577,1535
972,26691,139,25561,18,4499,62,4948,8,11771,3,4.142711498,462.2764966,20736,16703,8045,41966,14094,1784
985,26230,141,25362,22,4722,50,5175,8,12213,7,4.180594539,464.1299382,20161,17031,7681,40922,13811,1763
1265,23067,147,23589,13,5150,59,5514,8,11648,17,4.383929213,456.0102377,19293,18852,7411,27907,13452,1559
1543,23074,133,23198,18,6184,30,5208,10,11983,23,4.543818037,460.3801725,19231,20219,7366,23682,11821,1417
1588,21329,109,21532,17,4320,68,4429,6,10770,12,4.443715525,455.2603268,18233,17638,6981,22516,11062,1333
1278,24100,147,23330,26,4129,99,4973,29,12361,15,4.741850718,476.6763635,19421,17444,7063,22152,11418,1349
1342,24160,155,23786,10,3791,35,5066,8,11527,11,4.581765038,461.4684972,19935,17420,7971,23827,11982,1296
1159,28863,141,26503,20,4171,55,5499,5,13131,7,4.930137806,480.3841029,21766,17139,9072,22695,12732,1703
1122,26028,120,24806,19,4164,42,5313,7,12463,6,4.780010212,465.1937892,20389,15553,8642,24879,12442,1594
1916,24633,145,25170,27,4067,62,5385,7,12670,15,4.665813185,466.7726479,20404,18967,8254,24436,15247,1436
1748,24357,156,24727,36,4046,100,5462,25,12152,18,4.460636734,467.052334,20065,18829,8441,26968,15963,1558
1372,22926,154,23741,20,3889,72,5280,10,11771,14,4.448632623,460.1279512,19685,18024,8169,25474,12125,1479
1466,23243,143,23880,20,3600,66,5020,9,12139,14,4.557114752,463.073256,19554,18153,8678,24528,12359,1538
1307,23116,148,24063,18,3486,65,5113,11,11276,19,4.289855417,451.5005675,19574,18456,8950,27986,15288,1487
1269,27627,158,26614,19,3899,53,5695,11,12986,9,4.48521262,471.6242827,21553,18902,9887,31043,12718,1670
1284,26700,163,25567,21,4104,44,5572,6,12425,4,4.318941817,463.0083302,20862,16131,9446,37502,12632,1582
1613,25214,145,25533,15,3906,50,5921,1,12470,12,4.143584721,467.9370693,20467,20323,9302,36490,12420,1468
1486,24216,135,24340,19,3838,45,5643,9,12022,13,4.212512435,474.493508,19743,18478,8753,33816,12094,1437
1438,23779,135,23767,21,3791,44,5546,6,11670,15,4.0602289,466.3873532,18853,18850,8889,36623,11931,1371
1241,23641,158,24089,19,3724,59,5558,8,11648,12,4.106341778,454.6644168,19680,17700,9020,36983,12243,1525
1794,22898,152,23636,16,3583,54,5570,0,11094,18,3.977015676,456.4066909,19248,17799,8783,40456,16403,1439
1106,24299,142,24337,21,3685,40,5245,5,11480,19,4.075051423,451.9743473,19654,17124,9861,37830,13230,1609
1176,25028,139,24193,16,3689,61,5426,6,12029,4,4.134411453,452.2519103,19421,16466,10064,39080,12639,1500
1485,22981,142,23972,16,3685,76,5589,6,11003,11,4.217734575,449.4793691,19264,17477,9756,31515,12252,1390
1520,22551,140,23398,27,4061,94,5545,27,11309,43,4.134905692,453.8865079,18523,17725,9775,34243,12512,1358
1565,23087,160,23861,17,3746,75,6061,7,11689,8,4.046898025,455.6140291,19244,19000,9386,35362,11947,1430
1477,22189,140,22632,13,3479,79,5482,8,10861,12,4.069787847,447.9347457,18001,17831,9567,33853,11268,1331
1462,23468,135,23607,17,3659,59,5992,8,11060,24,3.972029713,460.0070774,19304,18515,9569,39230,15125,1433
1089,26945,134,25571,15,3843,63,5815,19,12356,16,4.239225705,463.621852,20962,18476,9841,37283,14112,1529
1071,26707,138,25412,14,3850,61,6244,6,12898,6,4.301860173,467.6738565,19812,18248,10377,37352,13016,1556
1481,22524,145,23367,13,3511,80,5837,8,10795,28,3.650999583,464.0263999,17540,17718,9552,51026,31217,1299
1433,20990,98,21791,15,3425,60,5010,6,10462,22,3.175890285,459.4553206,16793,17603,9077,73255,25101,1167
1489,20646,121,22140,16,3606,91,4894,8,10600,15,3.177273486,450.5999355,19645,18514,4810,66790,11010,1132
1496,20275,123,21205,16,5378,52,5178,5,12082,13,4.046576348,457.5951358,17587,17636,8589,31758,11540,1111
989,22940,103,22400,19,4317,59,5345,8,11868,14,4.707594802,474.6622308,17856,16128,10199,22250,11077,1202
1042,22923,117,22444,15,3905,50,5341,9,11485,15,4.669077758,471.3275025,17367,16136,10180,21925,11047,1199
1307,21669,106,21041,35,3624,43,4801,8,10809,5,4.663694304,463.2612782,16432,14149,10075,21346,10667,1125
1307,22355,97,22896,4,4047,52,5028,11,12060,24,4.389417601,454.823066,17671,16267,10532,28185,11987,1289
1348,20393,111,20489,22,3740,65,5126,17,9270,29,4.213348181,460.1915261,16052,15731,9672,29790,10349,1068
1566,22256,148,21628,20,7869,67,5364,7,10132,24,4.066773295,443.7370696,15725,21701,9918,32615,10945,1214
1721,24545,209,24319,16,10928,91,6006,4,10098,23,4.1523757,426.4802481,15961,19513,9818,32171,11266,1445
1560,23506,155,24010,25,13771,81,5906,11,9663,12,3.742118648,425.0853402,16339,18642,9900,44057,15318,1485
1071,22420,137,21716,17,6058,60,5257,6,9337,12,4.158851943,448.8025902,16777,15457,10132,33201,11580,1339
1216,24144,112,23051,22,5006,61,5902,9,10382,5,4.312005873,458.6419099,18298,15801,11934,32872,12388,1385
1470,23061,161,23236,26,7774,90,6196,6,10091,19,4.254704494,444.5325638,17488,20895,11344,30534,13014,1404
1380,22194,139,22278,15,6121,82,5816,5,9788,19,4.04021805,450.3849796,16220,20047,11214,32951,15169,1291
1408,22518,123,23319,11,5931,62,6173,8,10220,10,3.980582832,437.2752023,16194,24131,11083,33116,12465,1288
1583,23789,131,24127,14,5609,61,5616,6,10710,23,3.905542998,428.7714839,16862,22183,11087,39426,13020,1475
1577,22792,142,22859,24,4867,61,4643,8,9555,16,3.643114228,424.7228125,16620,18803,10586,46497,12768,1387
1208,23686,148,23458,24,4436,68,4680,7,10326,19,4.182757198,434.7705606,16905,15655,10789,37163,13279,1437
1282,24514,127,23995,17,4099,65,4731,7,10650,3,4.405950197,435.5382896,17804,16046,11448,31317,13128,1400
1553,22464,156,22579,30,5037,71,4608,16,9965,16,4.37449448,439.3341987,15829,16878,11582,27265,12755,1267
741,23675,189,24102,15,6186,162,5021,24,10469,12,4.361350295,435.6606754,16390,18992,11563,28308,13308,1279
1395,23690,167,23477,22,6335,95,4812,12,10434,8,4.460031839,451.524445,16905,18692,11532,26187,13420,1307
1557,22757,167,22972,14,4880,84,5090,7,9880,36,3.929259574,454.33198,15868,19524,12432,38181,19458,1377
1429,22530,156,22489,21,4693,58,4617,12,9565,14,3.875378272,484.6152084,15969,27945,12310,30257,15700,1418
1405,24927,141,23866,14,5826,56,5097,14,10130,11,4.273832381,499.9379333,15876,23699,13495,26995,14328,1562
1470,27474,151,25261,13,5281,70,5465,24,11189,7,4.628985638,489.0067923,16752,18859,14438,28986,15290,1546
2137,23158,180,23395,20,5054,74,4998,10,10485,19,4.3172781,471.7310938,15491,19749,12765,27781,15627,1262
1599,21509,143,22125,10,5264,69,4838,12,9990,11,4.278250108,457.1385788,14287,19255,12154,25978,13225,1266
1509,21752,137,22331,18,4884,80,4867,11,9973,15,3.965908715,456.2186514,14961,19330,12413,35142,20581,1357
1552,20140,138,20873,12,4394,75,4343,11,9076,25,4.269226436,460.7067988,14271,18288,11864,27081,15787,1342
1446,21714,141,21814,15,4715,64,4625,9,9356,14,3.448096137,450.8670548,15877,55217,12490,24944,13546,1373
1253,23302,120,22212,14,6625,64,4579,7,10681,11,3.375708303,473.6567863,15198,30377,12976,51492,24098,1354
1163,21566,144,20797,13,5211,51,3937,7,9439,2,3.706541223,454.7208182,14368,20832,12703,39771,13757,1252
1723,22001,143,22405,15,6140,56,4757,13,9972,13,4.158942287,454.4081246,14826,24013,12440,27058,13597,1232
1717,20725,155,20823,18,5162,111,4258,25,9615,36,4.163607304,457.2796633,14204,21962,11780,26167,14277,1290
1927,22293,160,23002,21,7023,71,4258,17,9702,39,4.335567668,438.2632045,15079,20737,11781,24932,14163,1390
1656,18472,103,19533,17,6517,49,4658,8,8435,23,3.67959762,434.7196823,12851,17940,10304,35427,13230,1074
1530,20154,134,21149,13,5272,70,5113,12,8968,22,4.030184454,427.6669818,13884,18427,11284,28436,15529,1496
1145,22826,142,22365,23,5038,58,5291,14,9826,8,4.453225603,445.5163582,14621,17529,12546,24093,14890,1376
1106,21086,109,20692,31,2819,45,4590,7,9940,3,4.444899659,434.6662746,13834,15689,11941,23848,13180,1208
1638,20988,132,21984,17,4823,66,5246,20,9976,24,3.880785201,389.365708,14995,19644,12200,22368,13686,1313
1700,20696,140,21685,11,4354,62,5678,16,9421,43,4.217108471,423.7228021,14568,19780,12010,23294,12988,1252
1678,19983,131,21070,22,4771,64,5153,12,9054,18,4.223630076,428.3147416,14329,20112,11468,22822,13335,1189
1417,18360,113,19667,9,4282,51,4660,11,8534,23,4.186907034,426.0783581,13610,19268,10952,21360,12963,1200
1202,17888,120,18749,7,4283,62,4428,18,7391,22,4.225757705,418.796305,13746,17135,11168,19469,12339,1096
1108,18290,126,18741,15,3887,39,4221,7,8104,14,4.241794576,415.4087651,13807,15757,11576,20782,12695,1137
918,19907,110,19815,13,3959,64,4824,11,8316,5,4.337181501,424.6327792,14671,15401,12021,22978,13204,1171
1611,19617,140,20612,21,4263,53,5284,11,8849,18,4.310467096,422.4117529,15475,18680,11958,23207,13603,1155
1541,19747,112,20602,19,4251,56,5361,22,8735,20,4.227925714,418.9102928,16871,17548,12799,23028,13509,1182
2756,19322,136,20584,21,5139,74,4790,16,8754,11,4.004706946,428.9888207,30761,28976,15297,23009,14583,1309
10686,20205,125,22909,21,4841,87,5041,12,8996,20,3.804709183,404.398362,36051,34994,17908,24624,17355,1251
3622,16868,146,18814,17,3778,65,3713,24,7090,23,4.160636094,394.1554026,21851,22134,13421,20618,14021,1182
1448,19461,150,20289,21,3907,44,4428,13,8320,12,4.0551182,405.9321225,22555,18971,13447,22069,13978,1170
1482,19543,128,20402,12,3754,44,4362,12,8718,6,4.191710092,408.9362294,21143,16874,13607,22410,13776,1247
1395,19936,121,20361,16,3945,59,4874,16,11026,4,4.240717448,423.8317117,19052,17081,13135,23733,14132,1184
2004,19898,149,21392,17,4521,92,5741,10,13447,26,4.332412468,430.6141309,19393,18418,13169,21841,14194,1144
2154,19473,68,21174,15,4250,25,5465,9,12791,23,4.204435351,427.4128897,19346,19407,12823,22081,13413,1133
1938,18477,128,20155,12,4261,56,5308,13,12183,19,3.925236636,412.0696256,18729,21006,12743,24762,14753,1175
1740,18608,139,20460,18,4014,74,5159,14,12148,30,3.830433892,412.9939239,19778,21867,13117,28148,14358,1242
1211,19163,126,19773,13,3784,53,4744,7,11987,23,3.878825876,413.3060795,18278,16464,13252,30939,13854,1223
1181,19421,201,20612,16,3900,74,4637,10,12221,6,3.824541766,406.7182058,18094,15534,13097,37533,13946,1278
1782,18841,161,20687,23,5331,94,5472,9,12751,29,3.555957136,412.2347914,18491,19361,12702,42596,15206,1173
1550,17799,147,20394,22,5813,114,5600,41,13003,17,4.158299816,407.0573018,16728,20421,12368,22541,17244,1314
1609,17064,143,18917,20,4049,83,4671,9,11376,21,4.008500049,408.5215264,15880,17949,11646,25397,14490,1099
1424,18450,165,19387,18,3326,53,4651,10,11904,19,3.88673249,406.0314295,18095,17735,12413,23989,14750,1049
1252,17671,117,18284,28,3394,39,459,9,9100,28,3.789259384,385.7511402,16953,16745,11894,25915,13254,1070
1017,18962,133,18946,20,3015,40,4260,5,11377,30,4.017745198,418.2954311,16186,15030,12330,26358,13364,1035
962,18960,136,18715,16,3003,64,4177,8,11295,2,4.055401308,413.5475694,16235,14515,12207,26154,13803,1008
1401,18500,147,19201,17,3469,85,5077,24,11999,25,3.776117701,414.1348459,17054,16367,12158,33070,13682,1063
1610,48279,420,47533,38,3970,55,5224,8,41875,22,4.310752546,452.6870253,40250,49382,16229,31903,14269,1165
1904,32339,331,32591,24,3469,71,5025,9,25919,21,5.287874107,455.5399295,27369,26450,13430,25361,13635,1077
1950,26998,236,28362,27,3303,50,4780,15,21408,14,5.025758719,443.2680195,23315,22578,13069,23628,12699,1105
1696,22925,229,24607,23,2951,57,4320,15,16936,16,4.739022494,429.7240871,21057,20048,12141,21374,12407,993
1307,21930,144,21861,10,2711,36,3821,5,15732,10,4.636670305,429.3206815,18898,16917,11522,23511,11892,946
1411,24751,91,24980,17,2544,31,4278,8,17391,2,4.981756396,437.5334389,21619,17437,12804,24410,12614,1081
2147,25686,240,26408,28,3409,106,5877,17,19561,14,4.851520962,443.2242448,21779,20226,12597,25691,13060,1091
1974,24173,243,25341,45,3425,168,5126,31,18056,29,4.770741392,434.6247532,20398,19486,12713,24444,12479,1067
1805,21652,169,22375,21,2818,54,4862,21,15992,9,4.683137984,431.0622628,18132,17653,11675,23130,11701,1024
1529,20009,129,20764,12,2748,59,4173,22,14139,8,4.487999062,422.3913523,16889,17564,11333,20378,11615,913
1758,20573,164,21651,13,2735,65,4192,9,14517,23,4.380236922,426.9248944,18164,18628,11496,22738,13394,1008
1483,20514,148,20558,21,2738,68,4076,7,14631,15,4.550615486,423.0688393,17308,15884,11566,21436,12834,1059
1515,20251,111,20621,14,2778,35,3822,9,14081,5,4.533896868,419.9007194,17657,15652,11730,22524,12686,1019
1919,22270,193,22894,20,3127,78,5000,15,17351,21,4.670430721,437.1915797,18714,17688,11655,23362,13761,1115
1999,21471,159,22236,22,2950,56,4519,25,16985,25,4.708467092,439.3310069,17762,18449,11761,20164,13462,1027
1638,16790,165,20154,18,2731,89,4210,26,13972,19,4.511481235,428.9932969,15954,16849,10676,20781,12198,923
1422,16315,48,20477,19,2725,83,3162,5,13501,6,4.578911304,439.9514419,16509,16875,10854,19253,12182,913
1466,17881,34,23229,25,3449,71,3228,15,14048,12,4.372992933,423.2421611,16357,18637,10782,22646,15787,1179
1439,18126,34,23112,16,3486,66,3565,12,14286,8,4.55567283,439.4475897,18025,17837,11594,22390,14745,1169
1334,17017,35,21735,19,3020,41,3950,8,14486,3,4.497887478,433.46157,17205,17077,11205,22730,13447,1018
1727,18170,35,23835,13,2968,100,4447,11,15537,32,4.604351995,438.2723309,18206,18379,11382,24574,13689,902
1763,17282,21,22085,24,2804,49,3324,21,14436,16,4.594899557,438.14395,17835,18310,11016,24624,14085,1062
1611,16178,14,21517,13,2923,62,3623,7,13638,15,4.509444895,426.1724294,17333,16844,10976,23579,13696,1084
1483,16057,20,20774,21,3996,44,3863,1,13972,13,4.431267228,428.3418907,15804,19408,10301,22616,13147,1013
1707,17501,29,23246,17,4306,53,4048,11,15045,24,5.131142406,416.8991707,17473,21353,11329,24925,16192,1220
1344,16465,33,21630,15,3224,61,4215,14,13865,26,4.867327882,421.3712119,16227,19412,10904,23322,15509,1187
1381,17940,32,23040,28,3619,69,4357,11,14976,6,4.615097475,429.3987473,17598,17083,11187,25715,15460,1260
1735,17543,30,24014,20,3664,53,4462,11,15189,24,4.660636734,428.7963673,18675,19985,12411,27645,16644,1233
1815,18103,30,23543,30,4530,63,4160,8,15559,40,4.486884688,430.7671263,17528,20178,11720,28652,15940,1299
1531,18351,18,23627,23,4138,94,5435,14,15478,10,4.66468523,437.9086787,17322,19743,12251,25701,16603,1242
1611,18477,51,24045,23,3702,94,3789,8,15054,23,4.579542555,436.677039,17474,21311,12693,23967,17362,1212
1583,17205,48,22258,21,3843,62,3354,4,14179,19,4.525399455,430.7661992,16669,19093,11948,21556,15939,1204
1171,16179,23,20993,13,3252,59,2982,11,13041,15,4.519367451,425.6525312,15233,15774,11331,22981,15312,1149
1275,17838,33,22001,31,3332,87,4329,11,14219,5,4.585338521,437.1540698,16549,16897,12001,24954,16502,1275
1676,18141,23,23932,26,3541,87,5676,11,15520,31,4.618762668,439.9473389,17494,19092,12146,23883,15920,1187
1977,18839,41,24571,102,3641,84,5637,19,16435,10,4.796109865,438.7709012,18245,20074,12525,21931,16064,1375
1696,18201,35,24020,43,3380,60,5187,15,15921,26,4.689898778,436.6793539,18106,18363,12321,21952,16072,1234
1608,18845,22,26334,25,3548,79,5299,9,16770,19,4.681522394,429.076842,18627,20165,12800,24531,17444,1263
1699,19062,30,26271,27,5474,75,4923,10,15775,17,4.634792283,426.6503902,18425,18742,12261,23843,20629,1485
1324,18928,25,25787,20,4005,62,4603,6,15900,8,4.663587778,446.0151865,18646,17926,11861,24610,18964,1354
1515,18857,23,25752,10,1943,48,4448,11,16927,2,4.696197546,425.3475196,19394,17328,12161,25461,18700,1418
1842,19526,26,26728,16,3617,65,5716,12,17583,27,4.846873421,438.8368556,20142,19330,12257,22789,17256,1258
2006,19089,35,26138,25,3248,71,5530,9,17312,22,4.792578598,442.0970336,19897,19578,11331,22947,15927,1181
1893,17905,23,24701,23,3127,86,5262,10,15255,30,4.692376415,446.6296596,18371,18394,11436,22195,15028,1186
1467,17389,22,24017,11,3102,71,5151,10,14942,21,4.724241069,439.3929375,18203,18113,10997,21206,14448,1149
1640,16294,21,22539,25,2833,69,4660,11,13418,16,4.501893718,429.980857,17486,18251,10718,20589,14761,1060
1253,17248,23,23108,22,2916,39,4227,9,14072,9,4.687740715,443.7190456,16549,16500,11013,22235,14791,1151
1204,18195,23,23958,21,2976,54,4500,12,15433,3,4.798104414,438.2855014,18363,15694,10993,22760,15890,1245
1813,17475,28,24704,14,3092,92,4702,18,16141,35,4.795589368,429.6125212,19140,18369,11169,23100,16974,1164
1781,18447,29,25160,38,3329,113,5465,31,16714,18,4.718954404,448.8880057,18519,19380,11263,24953,17061,1199
1644,17094,22,23641,33,2853,72,4965,10,15167,23,4.697025236,431.4609774,17178,17478,10984,22812,16180,1085
1683,17619,20,23754,22,3101,74,5323,19,14644,26,4.654064464,439.0905091,17409,18423,11194,21995,16319,1243
1565,15692,32,21757,13,2711,65,4368,11,12995,13,4.439149434,430.1019067,16516,15377,9923,24591,15997,1056
1302,15829,20,21488,12,2618,72,4028,8,12438,11,4.664091885,435.6420898,15986,15151,9756,19714,13836,1052
1349,15712,14,20648,16,3135,68,4332,6,12683,12,4.731883217,443.0504438,16782,14834,10536,18491,14182,1113
1547,15925,22,21209,15,3213,91,4532,18,13878,14,4.732170824,444.0491821,16659,15340,10269,20576,13827,1064
1700,15962,30,21588,26,3751,95,4804,12,14480,30,4.564322876,443.1054723,16912,18981,10498,20100,13770,1008
1974,16153,23,21472,15,3895,82,5123,9,14615,19,4.771293203,430.4254622,17040,18401,10601,16559,14260,1053
2030,18374,19,24258,22,3756,99,5987,13,15076,18,4.586080339,427.6436254,16836,19882,10844,22349,17219,1202
1708,16459,20,21491,22,3147,85,4752,13,12866,26,4.60928528,427.943229,16545,16090,9813,19245,13893,1116
1564,16676,17,21865,19,2740,77,4428,9,13420,12,4.829128457,449.5715163,17215,16340,10646,17390,14148,1154
1510,17156,22,22210,20,3102,61,4870,10,13614,11,4.839893639,445.711114,17592,15987,10824,18972,14436,1174
1993,17868,24,23506,31,3481,175,5611,8,14816,19,4.199546946,440.0812666,19008,18273,11628,34909,14733,1117
1928,18436,30,23349,32,3146,224,5531,24,15228,16,4.955992293,443.3021515,18778,19133,11520,18657,13678,1195
1831,17716,26,22639,30,2939,234,5956,11,15500,18,4.705165091,442.5351507,18287,19034,11122,22343,14852,1167
1969,17197,18,21926,24,2753,204,5541,14,14388,23,4.072807536,432.4549302,17476,19500,11137,36789,14726,1118
1753,15671,28,20062,29,3124,192,5010,19,12856,18,4.597378227,423.8079571,16732,17374,10837,20302,14516,1090
1600,15317,19,19733,18,2813,127,4205,6,12665,15,4.792872271,433.7561303,16672,15064,10823,17774,13962,1107
1478,16608,24,20304,13,2949,140,4450,7,13334,4,4.832939043,438.6237948,16653,15616,11130,18727,14317,1131
1925,17881,18,22801,25,3144,182,5237,19,14943,24,4.688851439,449.4187325,18263,17744,11645,23473,14045,1107
1728,17624,29,22850,17,3228,215,5241,15,14787,19,4.821186086,445.417705,18081,17983,11582,21776,14553,1190
1782,17093,25,21660,27,3020,187,4838,10,14086,13,4.630647427,449.2575844,17508,17797,11238,22268,15066,1172
1803,16526,14,21301,23,3178,199,5272,6,13314,12,4.582666225,445.1537871,17189,19813,11789,20250,14193,1174
1751,15676,19,20377,15,2975,190,4524,8,12494,25,4.590828684,431.102908,16481,17013,11162,19921,13734,1145
1469,15911,21,19942,14,2838,140,4597,10,12603,10,4.74044372,436.6983102,16296,15434,11043,18736,13595,1148
1667,17589,21,21208,17,2462,131,4494,11,14734,2,4.853146096,444.5519298,17434,16254,11604,19591,13975,1156
1900,17837,28,22672,19,3461,210,5088,10,14937,19,5.101302589,446.0678241,18662,19408,12100,18971,13308,1171
1992,17542,29,22971,16,3096,233,5175,26,14550,26,4.95363278,445.3040968,18701,18151,11491,17486,13486,1176
1833,16275,21,21366,27,2509,202,5009,20,13535,18,4.795147214,438.4126717,17361,17336,10867,17833,12793,1154
1839,16128,17,21165,27,2513,216,4702,4,13509,19,4.767661367,439.6875596,16653,16628,11037,18634,12524,1116
1600,15193,23,19893,19,2519,174,4364,17,11843,19,4.664145409,435.0938422,16000,17387,10582,16698,12287,1070
1488,16096,23,20277,16,2433,168,4572,14,12860,24,4.761643678,446.5943044,15708,15866,10770,18259,12935,1134
1563,16746,23,20850,19,2468,157,4581,11,13397,6,4.800365374,439.1258794,16065,16014,11132,18806,13570,1197
2129,16507,15,21474,15,2618,225,5075,11,13475,27,4.838892567,443.5412503,16351,17863,11162,17289,12639,1069
1658,16030,30,21179,18,2776,222,3349,17,13041,31,4.893730321,446.6523351,15463,18175,10695,15147,12357,1005
1800,15067,16,20297,23,953,173,4709,8,13484,29,4.516295913,433.5411328,14480,15988,11053,23224,18252,989
1765,14936,23,19796,23,553,176,4433,9,12556,28,4.600748966,435.8455182,14564,16798,10759,18238,13275,978
1726,13919,19,18627,13,420,154,4012,7,10997,19,4.650607714,429.5308664,13974,14587,10314,16630,12169,995
1476,13968,14,18596,14,420,144,3747,6,11507,6,4.735975815,429.2868059,14170,12924,10574,16898,12240,982
1433,15318,24,19545,9,421,176,4441,14,11728,2,4.82935746,438.1521461,14675,13099,11045,18244,12664,1041
1777,16993,15,21310,19,564,193,4777,5,13612,12,4.922661311,444.1239269,16231,14413,11554,19918,13411,1147
1918,14833,28,20204,28,504,196,4839,20,13102,35,4.742420048,437.0745044,15110,15735,10949,17656,12316,966
2181,15163,16,20430,9,1290,173,5110,7,13216,32,4.665544822,434.7117159,15827,18168,10989,17015,12189,967
1982,15338,21,20219,19,2522,195,5039,9,12565,8,4.686283602,435.7379134,15850,17556,11181,17192,12451,909
1582,13893,23,19323,15,2887,141,4469,6,11428,16,4.454006362,428.7572724,15307,14848,10903,19613,12328,969
1575,14958,17,19654,11,2418,141,4175,13,11466,15,4.524543114,435.5000964,15401,13693,11317,22549,12797,1003
1826,16667,25,21154,22,2440,161,4949,10,12520,1,4.492112881,437.521184,17447,14289,12098,26110,13596,1153
1984,15818,14,21019,14,2596,195,5663,10,13328,37,4.550989539,442.725037,16261,16529,11645,24829,12815,1006
1955,15912,16,21072,21,2365,173,5194,13,12878,22,4.447714681,449.2170946,16538,17234,11132,23734,12549,981
2113,15578,31,20840,20,2275,166,5270,10,12879,24,4.573966746,436.0849893,16188,16007,11102,20860,12350,1003
1902,14250,29,19758,8,1824,113,4074,15,12270,22,4.418123922,430.3660209,16191,16542,10746,22509,12930,887
1955,14512,23,19702,20,2890,151,4691,10,11775,17,4.207490876,419.7770616,17040,15634,11167,25289,13241,1004
1722,15607,27,19851,15,2207,163,4496,9,12462,21,4.491369015,442.1309492,15455,14622,11106,24263,12945,1028
1705,16329,20,20666,17,2102,167,4686,11,12936,6,4.34946544,436.027201,16538,19989,11310,24177,13884,1038
1891,15351,26,20628,11,2263,150,5181,11,12753,20,4.325494089,436.8306154,15990,16617,10866,25801,15352,961
2129,15535,15,20770,16,2404,190,4987,22,12898,27,4.489975839,429.8225152,16193,16044,11446,25018,14027,1159
1946,16225,5,21535,18,2412,181,5448,28,13020,29,4.571879442,446.9636649,16284,16514,11320,23307,13021,1181
1871,15575,18,20938,16,2487,148,4719,14,12873,20,4.451983846,439.1711716,15670,16232,11310,23519,12914,1120
1867,14935,10,20130,14,2302,155,4748,13,12126,13,4.341633217,433.9287379,15539,14915,11227,22826,13089,1126
1580,15489,9,20463,15,2216,131,4446,10,12445,23,4.423097252,436.9117903,15443,13896,12111,24478,13294,1205
1835,17013,30,21474,20,2475,159,4733,13,13512,1,4.574640299,443.6959334,16560,14438,13044,25048,13361,1281
2085,16623,19,22413,30,2556,194,5512,13,13822,24,4.48762278,435.532626,16117,18742,12130,24335,13434,1426
2017,16217,27,21875,23,2575,157,3459,9,13061,16,4.365319927,432.3111962,15429,16683,11886,26449,12847,1209
2031,15532,20,20778,19,2301,221,5102,84,13680,23,4.515248523,461.1788938,14437,15708,11268,25590,12220,1239
2115,16334,27,21173,20,2313,167,5132,4,13949,13,4.516034342,444.42161,14947,15799,11602,22874,13172,1188
1660,15455,24,20633,16,2339,132,4939,7,14888,11,4.57924245,433.724806,16281,17405,11123,20157,12589,1090
1536,16591,15,21270,16,1966,159,5045,15,14148,19,4.885759664,456.0987069,16542,15057,11854,17835,13362,1060
1588,16815,26,21138,10,1999,138,5154,0,14248,4,4.861955594,455.8638446,16746,14826,11756,18824,13412,1109
2164,16443,27,21372,14,2388,204,5647,6,14481,26,4.744172217,456.6941954,16925,18221,12051,18385,13077,1036
1944,18228,59,22882,31,3996,184,4412,12,15369,16,4.895365386,436.4210491,17229,18091,11732,19302,12251,1145
1860,17356,62,22570,23,3171,164,5758,8,15479,32,3.41649557,446.0973956,17124,18792,11582,68919,12450,1009
1706,15948,61,21104,18,2574,137,5188,9,13805,9,3.034309797,444.879172,16917,18063,11328,92661,12789,981
1627,15388,53,20663,22,2309,143,5061,10,13460,18,3.71910753,440.2343816,16664,17045,10858,50751,12685,997
1477,16460,39,21210,18,2385,146,4609,14,13999,5,4.031650082,447.5011097,16655,15559,11734,40802,13209,1066
1576,16574,52,21028,26,2174,129,4596,12,13815,1,4.194415719,437.8573734,16959,15865,11575,31230,13132,983
1640,17952,46,23375,30,2487,156,5618,11,14603,6,4.445255474,430.0263918,17489,18229,12165,26453,13347,1005
2354,18005,65,23699,25,2429,159,6062,14,14925,34,4.459659157,448.4393111,18686,21494,10666,23336,12946,940
2817,20310,57,26830,45,3878,255,8432,24,16892,19,4.546220092,442.2707989,19029,19891,11184,24938,12896,1064
2136,18974,61,24904,22,3010,187,6627,18,16132,23,4.539579286,452.003013,19284,20688,10738,23540,12871,1045
1892,17562,75,23489,26,2380,180,5725,20,14642,24,4.51931825,453.9969494,18659,18938,10929,22905,12561,974
1782,19962,50,24723,27,2622,170,6042,12,16759,6,4.698300745,472.25231,20397,19666,10525,24063,12138,991
1935,18246,50,22877,16,2477,256,5315,16,15387,15,4.657901814,451.6656766,20126,16766,10232,24503,11689,1014
2271,18619,60,25518,30,2454,199,6214,14,15519,31,4.559991687,443.8414144,20400,22901,9579,22648,12139,970
2134,17586,87,23126,34,2495,186,6940,27,15473,20,4.712161543,467.7289059,19918,19162,8771,21902,13760,1081
2030,17821,60,22894,29,2244,176,7162,19,15528,15,4.853814264,468.6323251,20164,18384,8796,20183,12694,1075
1847,20665,74,26241,21,2346,208,7458,15,17293,11,4.966027023,465.542162,22168,22366,8918,20440,13471,1182
2040,18655,62,23331,44,2338,162,6848,28,15648,23,4.332696381,457.7849763,20221,18319,9412,32267,13425,1094
